Name,Discord,Playing Launch,Playing Beta,UBG Discord,AE Discord,UBG Guilded,AE Discord,Guild,Notes,Discord Id
Bodnapa,Bodnapa#0001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unbroken,He is a giant NEEEEEERRRRRD!!!!,157656638973542400
Epsom,Epsom#0599,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unbroken,,248689117859282955
SkyObstacle,SkyObstacle#1046,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Unbroken,,218950608244310016
FearItself,FearItself#0376,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Unbroken,,277108294781239306
Langs,Langs#8467,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unbroken,,111831226788155392
TreeKneeChee,TreeKneeChee#2084,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Unbroken,,467487442685919233
Rightlend,Rightlend#3164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unbroken,,212421349606555649
AdmiralByrd,AdmiralByrd#5827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Did not like New World,314896946483560451
MissaTDouge,mistaT#8731,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Unbroken,,753431558983123146
ActionJaxon,actionjaxonla#4273,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Unbroken,,799892008935751703
Bromatic,Bromatic#4526,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,236703868073934848
Klytzkrieg,Klytzkrieg#3185,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Unbroken,"Internally Applied, Cb Member.",208032416432914433
MrBurbbles,MrBurbbles#1774,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unbroken,,140319810096594944
Qrow,Qrow#0286,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Unbroken,,886663723245252638
Wilber,Wilber#3561,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,878531834219233340
Don,don#0467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,This teenager has mood swings about New World. lol,123204830331142146
Morgan Reed,Morgan Reed#3155,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,He is not sure about beta.,885910525521842196
VOLT_Arivaderci,VOLT_Arivaderci#7406,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,Epsom will handle,798663727598796830
~Diablo~,~Diablo~#0391,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Okami will handle,741679324247228416
Dasa (AKA BrienW),BrienW#4717,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Bromatic's friend ,431649510696026135
Black Tim Howard,Noxid#5476,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,Epsom will handle,189239789164298243
Fonnix,Fonnix#1355,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,128518612448182272
Koinoir,floob#8008,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Unbroken,,748727198525030440
LatoGreenPaw,LatoGreenpaw#6201,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Unbroken,,886390318440800306
AyameWolcrest,Okami#3831,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Unbroken,Lyxen's husband,309410238438834176
Belewyn,Belewyn#0001,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,Katieyay's wife - might not play with UBG because Katie left.,240971945204645888
bleezii,bleezii#4738,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Unbroken,Recruited in game back in NW preview,383150197363965953
Bobagginz,Bobagginz#9141,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Epsom will handle,400141262423982081
Commandore,OddballSTG#3596,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Unbroken,,886409970919301160
eEyore(he/haw),eEyore(he/haw)#5123,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Unbroken,,574304212737851425
eyewall,Chitlenz#4027,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,748219703532454069
ibsararochelle,ibsararochelle#7455,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Unbroken,Okami will handle,273234249891708929
Ivecal,Ivecal#3307,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,633097617835819028
jizzucie,jizzucie#6672,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Epsom need to convince him :),885972111645081631
Komissar,Komissar#0790,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,,886437774050361414
Laakien,Laakien#7641,FALSE,FALSE,TRUE,,FALSE,FALSE,Unbroken,He said he will not play New World. If things gets interesting later he will hop on and play with us. he will not be playing at launch with us.,885694274077859900
Lyxen,Lyxen#7587,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Unbroken,Okami's wife,775904401839095808
MoxieMoon,MoxieMoon#6842,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,Maybe for launch.,882873727757463562
Regicide,Regicide#0725,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,886442306876612678
ShrubSorcerer,ShrubSorcerer#8122,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Unbroken,,750330164080017460
sutton^,sutton^#5670,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Contacted him. No response yet.,257284656863379457
TennoKai (AKA Raiu),TennoKai#3966,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,872254343431209031
